role,source_file,optimized_file,size_bytes,size_kb,alt,final_url,status,notes
source_only,/Users/ritaterekh/Documents/barnes-assets/grushevyi-tsvet/about-hotel-01.webp,,89658,87.6,,https://daniilterekh-prog.github.io/barnes-assets/grushevyi-tsvet/about-hotel-01.webp,final_url_ready,mime=image/webp
source_only,/Users/ritaterekh/Documents/barnes-assets/grushevyi-tsvet/about-hotel-02.webp,,103958,101.5,,https://daniilterekh-prog.github.io/barnes-assets/grushevyi-tsvet/about-hotel-02.webp,final_url_ready,mime=image/webp
source_only,/Users/ritaterekh/Documents/barnes-assets/grushevyi-tsvet/auto-journey.webp,,256238,250.2,,https://daniilterekh-prog.github.io/barnes-assets/grushevyi-tsvet/auto-journey.webp,final_url_ready,mime=image/webp
expert,/Users/ritaterekh/Documents/barnes-assets/grushevyi-tsvet/barnes-expert-altay.webp,,42340,41.3,,https://daniilterekh-prog.github.io/barnes-assets/grushevyi-tsvet/barnes-expert-altay.webp,final_url_ready,mime=image/webp
source_only,/Users/ritaterekh/Documents/barnes-assets/grushevyi-tsvet/bathhouse.webp,,64422,62.9,,https://daniilterekh-prog.github.io/barnes-assets/grushevyi-tsvet/bathhouse.webp,final_url_ready,mime=image/webp
source_only,/Users/ritaterekh/Documents/barnes-assets/grushevyi-tsvet/exterior-evening-cta.webp,,166324,162.4,,https://daniilterekh-prog.github.io/barnes-assets/grushevyi-tsvet/exterior-evening-cta.webp,final_url_ready,mime=image/webp
source_only,/Users/ritaterekh/Documents/barnes-assets/grushevyi-tsvet/exterior-residence-main.webp,,379564,370.7,,https://daniilterekh-prog.github.io/barnes-assets/grushevyi-tsvet/exterior-residence-main.webp,final_url_ready_size_warning,mime=image/webp
source_only,/Users/ritaterekh/Documents/barnes-assets/grushevyi-tsvet/exterior-residence-mobile.webp,,124796,121.9,,https://daniilterekh-prog.github.io/barnes-assets/grushevyi-tsvet/exterior-residence-mobile.webp,final_url_ready,mime=image/webp
source_only,/Users/ritaterekh/Documents/barnes-assets/grushevyi-tsvet/exterior-residence-overview.webp,,248620,242.8,,https://daniilterekh-prog.github.io/barnes-assets/grushevyi-tsvet/exterior-residence-overview.webp,final_url_ready,mime=image/webp
source_only,/Users/ritaterekh/Documents/barnes-assets/grushevyi-tsvet/farm-route.webp,,263566,257.4,,https://daniilterekh-prog.github.io/barnes-assets/grushevyi-tsvet/farm-route.webp,final_url_ready,mime=image/webp
icon,/Users/ritaterekh/Documents/barnes-assets/grushevyi-tsvet/favicons/apple-touch-icon.png,,15339,15.0,,https://daniilterekh-prog.github.io/barnes-assets/grushevyi-tsvet/apple-touch-icon.png,final_url_ready,mime=image/png
source_only,/Users/ritaterekh/Documents/barnes-assets/grushevyi-tsvet/favicons/barnes-seal-source.png,,2208177,2156.4,,https://daniilterekh-prog.github.io/barnes-assets/grushevyi-tsvet/barnes-seal-source.png,final_url_ready_size_warning,mime=image/png
icon,/Users/ritaterekh/Documents/barnes-assets/grushevyi-tsvet/favicons/favicon-16x16.png,,1089,1.1,,https://daniilterekh-prog.github.io/barnes-assets/grushevyi-tsvet/favicon-16x16.png,final_url_ready,mime=image/png
icon,/Users/ritaterekh/Documents/barnes-assets/grushevyi-tsvet/favicons/favicon-192x192.png,,16625,16.2,,https://daniilterekh-prog.github.io/barnes-assets/grushevyi-tsvet/favicon-192x192.png,final_url_ready,mime=image/png
icon,/Users/ritaterekh/Documents/barnes-assets/grushevyi-tsvet/favicons/favicon-32x32.png,,1963,1.9,,https://daniilterekh-prog.github.io/barnes-assets/grushevyi-tsvet/favicon-32x32.png,final_url_ready,mime=image/png
icon,/Users/ritaterekh/Documents/barnes-assets/grushevyi-tsvet/favicons/favicon-48x48.png,,3027,3.0,,https://daniilterekh-prog.github.io/barnes-assets/grushevyi-tsvet/favicon-48x48.png,final_url_ready,mime=image/png
icon,/Users/ritaterekh/Documents/barnes-assets/grushevyi-tsvet/favicons/favicon-512x512.png,,76014,74.2,,https://daniilterekh-prog.github.io/barnes-assets/grushevyi-tsvet/favicon-512x512.png,final_url_ready,mime=image/png
icon,/Users/ritaterekh/Documents/barnes-assets/grushevyi-tsvet/favicons/favicon.svg,,170,0.2,,https://daniilterekh-prog.github.io/barnes-assets/grushevyi-tsvet/favicon.svg,final_url_ready,mime=image/svg+xml
source_only,/Users/ritaterekh/Documents/barnes-assets/grushevyi-tsvet/fishing.webp,,153106,149.5,,https://daniilterekh-prog.github.io/barnes-assets/grushevyi-tsvet/fishing.webp,final_url_ready,mime=image/webp
source_only,/Users/ritaterekh/Documents/barnes-assets/grushevyi-tsvet/footer-visual.webp,,119644,116.8,,https://daniilterekh-prog.github.io/barnes-assets/grushevyi-tsvet/footer-visual.webp,final_url_ready,mime=image/webp
gallery,/Users/ritaterekh/Documents/barnes-assets/grushevyi-tsvet/gallery-interior-01.webp,,72560,70.9,,https://daniilterekh-prog.github.io/barnes-assets/grushevyi-tsvet/gallery-interior-01.webp,final_url_ready,mime=image/webp
gallery,/Users/ritaterekh/Documents/barnes-assets/grushevyi-tsvet/gallery-interior-02.webp,,46272,45.2,,https://daniilterekh-prog.github.io/barnes-assets/grushevyi-tsvet/gallery-interior-02.webp,final_url_ready,mime=image/webp
gallery,/Users/ritaterekh/Documents/barnes-assets/grushevyi-tsvet/gallery-nature-02.webp,,230242,224.8,,https://daniilterekh-prog.github.io/barnes-assets/grushevyi-tsvet/gallery-nature-02.webp,final_url_ready,mime=image/webp
gallery,/Users/ritaterekh/Documents/barnes-assets/grushevyi-tsvet/gallery-territory-02.webp,,116072,113.4,,https://daniilterekh-prog.github.io/barnes-assets/grushevyi-tsvet/gallery-territory-02.webp,final_url_ready,mime=image/webp
gallery,/Users/ritaterekh/Documents/barnes-assets/grushevyi-tsvet/gallery-territory-03.webp,,108982,106.4,,https://daniilterekh-prog.github.io/barnes-assets/grushevyi-tsvet/gallery-territory-03.webp,final_url_ready,mime=image/webp
source_only,/Users/ritaterekh/Documents/barnes-assets/grushevyi-tsvet/horseback.webp,,204054,199.3,,https://daniilterekh-prog.github.io/barnes-assets/grushevyi-tsvet/horseback.webp,final_url_ready,mime=image/webp
source_only,/Users/ritaterekh/Documents/barnes-assets/grushevyi-tsvet/interior-bathroom.webp,,116674,113.9,,https://daniilterekh-prog.github.io/barnes-assets/grushevyi-tsvet/interior-bathroom.webp,final_url_ready,mime=image/webp
source_only,/Users/ritaterekh/Documents/barnes-assets/grushevyi-tsvet/interior-bedroom-corner.webp,,106770,104.3,,https://daniilterekh-prog.github.io/barnes-assets/grushevyi-tsvet/interior-bedroom-corner.webp,final_url_ready,mime=image/webp
source_only,/Users/ritaterekh/Documents/barnes-assets/grushevyi-tsvet/interior-bedroom.webp,,143050,139.7,,https://daniilterekh-prog.github.io/barnes-assets/grushevyi-tsvet/interior-bedroom.webp,final_url_ready,mime=image/webp
source_only,/Users/ritaterekh/Documents/barnes-assets/grushevyi-tsvet/interior-kitchen-front.webp,,109136,106.6,,https://daniilterekh-prog.github.io/barnes-assets/grushevyi-tsvet/interior-kitchen-front.webp,final_url_ready,mime=image/webp
source_only,/Users/ritaterekh/Documents/barnes-assets/grushevyi-tsvet/interior-kitchen-light.webp,,120452,117.6,,https://daniilterekh-prog.github.io/barnes-assets/grushevyi-tsvet/interior-kitchen-light.webp,final_url_ready,mime=image/webp
source_only,/Users/ritaterekh/Documents/barnes-assets/grushevyi-tsvet/interior-living-main.webp,,226570,221.3,,https://daniilterekh-prog.github.io/barnes-assets/grushevyi-tsvet/interior-living-main.webp,final_url_ready,mime=image/webp
source_only,/Users/ritaterekh/Documents/barnes-assets/grushevyi-tsvet/interior-living-tv.webp,,213754,208.7,,https://daniilterekh-prog.github.io/barnes-assets/grushevyi-tsvet/interior-living-tv.webp,final_url_ready,mime=image/webp
source_only,/Users/ritaterekh/Documents/barnes-assets/grushevyi-tsvet/interior-living-view.webp,,188880,184.5,,https://daniilterekh-prog.github.io/barnes-assets/grushevyi-tsvet/interior-living-view.webp,final_url_ready,mime=image/webp
source_only,/Users/ritaterekh/Documents/barnes-assets/grushevyi-tsvet/investment-lifestyle-residence.webp,,105184,102.7,,https://daniilterekh-prog.github.io/barnes-assets/grushevyi-tsvet/investment-lifestyle-residence.webp,final_url_ready,mime=image/webp
source_only,/Users/ritaterekh/Documents/barnes-assets/grushevyi-tsvet/kids-club.webp,,199220,194.6,,https://daniilterekh-prog.github.io/barnes-assets/grushevyi-tsvet/kids-club.webp,final_url_ready,mime=image/webp
logo,/Users/ritaterekh/Documents/barnes-assets/grushevyi-tsvet/logo-barnes-international.svg,,890,0.9,,https://daniilterekh-prog.github.io/barnes-assets/grushevyi-tsvet/logo-barnes-international.svg,final_url_ready,mime=image/svg+xml
hero,/Users/ritaterekh/Documents/barnes-assets/grushevyi-tsvet/official-hero-residence.webp,,326486,318.8,,https://daniilterekh-prog.github.io/barnes-assets/grushevyi-tsvet/official-hero-residence.webp,final_url_ready,mime=image/webp
source_only,/Users/ritaterekh/Documents/barnes-assets/grushevyi-tsvet/patmos-chemal.webp,,267756,261.5,,https://daniilterekh-prog.github.io/barnes-assets/grushevyi-tsvet/patmos-chemal.webp,final_url_ready,mime=image/webp
source_only,/Users/ritaterekh/Documents/barnes-assets/grushevyi-tsvet/playground.webp,,153530,149.9,,https://daniilterekh-prog.github.io/barnes-assets/grushevyi-tsvet/playground.webp,final_url_ready,mime=image/webp
source_only,/Users/ritaterekh/Documents/barnes-assets/grushevyi-tsvet/pool-heated.webp,,255788,249.8,,https://daniilterekh-prog.github.io/barnes-assets/grushevyi-tsvet/pool-heated.webp,final_url_ready,mime=image/webp
source_only,/Users/ritaterekh/Documents/barnes-assets/grushevyi-tsvet/rafting.webp,,291914,285.1,,https://daniilterekh-prog.github.io/barnes-assets/grushevyi-tsvet/rafting.webp,final_url_ready,mime=image/webp
source_only,/Users/ritaterekh/Documents/barnes-assets/grushevyi-tsvet/resort-territory.webp,,128102,125.1,,https://daniilterekh-prog.github.io/barnes-assets/grushevyi-tsvet/resort-territory.webp,final_url_ready,mime=image/webp
source_only,/Users/ritaterekh/Documents/barnes-assets/grushevyi-tsvet/restaurant.webp,,20906,20.4,,https://daniilterekh-prog.github.io/barnes-assets/grushevyi-tsvet/restaurant.webp,final_url_ready,mime=image/webp
source_only,/Users/ritaterekh/Documents/barnes-assets/grushevyi-tsvet/season-autumn-katun.webp,,203830,199.1,,https://daniilterekh-prog.github.io/barnes-assets/grushevyi-tsvet/season-autumn-katun.webp,final_url_ready,mime=image/webp
source_only,/Users/ritaterekh/Documents/barnes-assets/grushevyi-tsvet/season-spring-residence.webp,,118776,116.0,,https://daniilterekh-prog.github.io/barnes-assets/grushevyi-tsvet/season-spring-residence.webp,final_url_ready,mime=image/webp
source_only,/Users/ritaterekh/Documents/barnes-assets/grushevyi-tsvet/season-summer-river.webp,,201620,196.9,,https://daniilterekh-prog.github.io/barnes-assets/grushevyi-tsvet/season-summer-river.webp,final_url_ready,mime=image/webp
source_only,/Users/ritaterekh/Documents/barnes-assets/grushevyi-tsvet/season-winter-stars.webp,,168828,164.9,,https://daniilterekh-prog.github.io/barnes-assets/grushevyi-tsvet/season-winter-stars.webp,final_url_ready,mime=image/webp
source_only,/Users/ritaterekh/Documents/barnes-assets/grushevyi-tsvet/villa-plan-153-180.webp,,81180,79.3,,https://daniilterekh-prog.github.io/barnes-assets/grushevyi-tsvet/villa-plan-153-180.webp,final_url_ready,mime=image/webp
map,/Users/ritaterekh/Documents/barnes-assets/grushevyi-tsvet/yandex-grushevyi-map.webp,,53904,52.6,,https://daniilterekh-prog.github.io/barnes-assets/grushevyi-tsvet/yandex-grushevyi-map.webp,final_url_ready,mime=image/webp
