role,source_file,optimized_file,size_bytes,size_kb,alt,final_url,status,notes
expert,/Users/ritaterekh/Documents/barnes-assets/karluu/expert-ekaterina.jpg,,304825,297.7,,https://daniilterekh-prog.github.io/barnes-assets/karluu/expert-ekaterina.jpg,final_url_ready,mime=image/jpeg
icon,/Users/ritaterekh/Documents/barnes-assets/karluu/favicons/apple-touch-icon.png,,12049,11.8,,https://daniilterekh-prog.github.io/barnes-assets/karluu/apple-touch-icon.png,final_url_ready,mime=image/png
icon,/Users/ritaterekh/Documents/barnes-assets/karluu/favicons/favicon-16x16.png,,460,0.4,,https://daniilterekh-prog.github.io/barnes-assets/karluu/favicon-16x16.png,final_url_ready,mime=image/png
icon,/Users/ritaterekh/Documents/barnes-assets/karluu/favicons/favicon-32x32.png,,1124,1.1,,https://daniilterekh-prog.github.io/barnes-assets/karluu/favicon-32x32.png,final_url_ready,mime=image/png
icon,/Users/ritaterekh/Documents/barnes-assets/karluu/favicons/favicon-48x48.png,,1951,1.9,,https://daniilterekh-prog.github.io/barnes-assets/karluu/favicon-48x48.png,final_url_ready,mime=image/png
icon,/Users/ritaterekh/Documents/barnes-assets/karluu/favicons/favicon.svg,,365,0.4,,https://daniilterekh-prog.github.io/barnes-assets/karluu/favicon.svg,final_url_ready,mime=image/svg+xml
icon,/Users/ritaterekh/Documents/barnes-assets/karluu/favicons/icon-192.png,,13180,12.9,,https://daniilterekh-prog.github.io/barnes-assets/karluu/icon-192.png,final_url_ready,mime=image/png
icon,/Users/ritaterekh/Documents/barnes-assets/karluu/favicons/icon-512.png,,58400,57.0,,https://daniilterekh-prog.github.io/barnes-assets/karluu/icon-512.png,final_url_ready,mime=image/png
source_only,/Users/ritaterekh/Documents/barnes-assets/karluu/karluu-airport.webp,,174882,170.8,,https://daniilterekh-prog.github.io/barnes-assets/karluu/karluu-airport.webp,final_url_ready,mime=image/webp
source_only,/Users/ritaterekh/Documents/barnes-assets/karluu/karluu-architecture-facades.webp,,251222,245.3,,https://daniilterekh-prog.github.io/barnes-assets/karluu/karluu-architecture-facades.webp,final_url_ready,mime=image/webp
source_only,/Users/ritaterekh/Documents/barnes-assets/karluu/karluu-architecture-mice.webp,,108516,106.0,,https://daniilterekh-prog.github.io/barnes-assets/karluu/karluu-architecture-mice.webp,final_url_ready,mime=image/webp
source_only,/Users/ritaterekh/Documents/barnes-assets/karluu/karluu-architecture-restaurant.webp,,103628,101.2,,https://daniilterekh-prog.github.io/barnes-assets/karluu/karluu-architecture-restaurant.webp,final_url_ready,mime=image/webp
source_only,/Users/ritaterekh/Documents/barnes-assets/karluu/karluu-architecture-spa.webp,,157950,154.2,,https://daniilterekh-prog.github.io/barnes-assets/karluu/karluu-architecture-spa.webp,final_url_ready,mime=image/webp
source_only,/Users/ritaterekh/Documents/barnes-assets/karluu/karluu-courtyard.png,,6765889,6607.3,,https://daniilterekh-prog.github.io/barnes-assets/karluu/karluu-courtyard.png,final_url_ready_size_warning,mime=image/png
source_only,/Users/ritaterekh/Documents/barnes-assets/karluu/karluu-courtyard.webp,,189844,185.4,,https://daniilterekh-prog.github.io/barnes-assets/karluu/karluu-courtyard.webp,final_url_ready,mime=image/webp
source_only,/Users/ritaterekh/Documents/barnes-assets/karluu/karluu-demand-sources.webp,,135856,132.7,,https://daniilterekh-prog.github.io/barnes-assets/karluu/karluu-demand-sources.webp,final_url_ready,mime=image/webp
source_only,/Users/ritaterekh/Documents/barnes-assets/karluu/karluu-facts.png,,2088223,2039.3,,https://daniilterekh-prog.github.io/barnes-assets/karluu/karluu-facts.png,final_url_ready_size_warning,mime=image/png
source_only,/Users/ritaterekh/Documents/barnes-assets/karluu/karluu-facts.webp,,55900,54.6,,https://daniilterekh-prog.github.io/barnes-assets/karluu/karluu-facts.webp,final_url_ready,mime=image/webp
source_only,/Users/ritaterekh/Documents/barnes-assets/karluu/karluu-hotel-anchor.webp,,215756,210.7,,https://daniilterekh-prog.github.io/barnes-assets/karluu/karluu-hotel-anchor.webp,final_url_ready,mime=image/webp
source_only,/Users/ritaterekh/Documents/barnes-assets/karluu/karluu-hotel-line.png,,3365888,3287.0,,https://daniilterekh-prog.github.io/barnes-assets/karluu/karluu-hotel-line.png,final_url_ready_size_warning,mime=image/png
source_only,/Users/ritaterekh/Documents/barnes-assets/karluu/karluu-hotel-line.webp,,68102,66.5,,https://daniilterekh-prog.github.io/barnes-assets/karluu/karluu-hotel-line.webp,final_url_ready,mime=image/webp
source_only,/Users/ritaterekh/Documents/barnes-assets/karluu/karluu-infrastructure-aerial.webp,,272930,266.5,,https://daniilterekh-prog.github.io/barnes-assets/karluu/karluu-infrastructure-aerial.webp,final_url_ready,mime=image/webp
source_only,/Users/ritaterekh/Documents/barnes-assets/karluu/karluu-infrastructure-inside.webp,,219672,214.5,,https://daniilterekh-prog.github.io/barnes-assets/karluu/karluu-infrastructure-inside.webp,final_url_ready,mime=image/webp
map,/Users/ritaterekh/Documents/barnes-assets/karluu/karluu-location-map-dark.webp,,262846,256.7,,https://daniilterekh-prog.github.io/barnes-assets/karluu/karluu-location-map-dark.webp,final_url_ready,mime=image/webp
source_only,/Users/ritaterekh/Documents/barnes-assets/karluu/karluu-location-official-crop-clean.webp,,144824,141.4,,https://daniilterekh-prog.github.io/barnes-assets/karluu/karluu-location-official-crop-clean.webp,final_url_ready,mime=image/webp
source_only,/Users/ritaterekh/Documents/barnes-assets/karluu/karluu-lots-structure.webp,,259242,253.2,,https://daniilterekh-prog.github.io/barnes-assets/karluu/karluu-lots-structure.webp,final_url_ready,mime=image/webp
source_only,/Users/ritaterekh/Documents/barnes-assets/karluu/karluu-masterplan.png,,12546867,12252.8,,https://daniilterekh-prog.github.io/barnes-assets/karluu/karluu-masterplan.png,final_url_ready_size_warning,mime=image/png
source_only,/Users/ritaterekh/Documents/barnes-assets/karluu/karluu-masterplan.webp,,166724,162.8,,https://daniilterekh-prog.github.io/barnes-assets/karluu/karluu-masterplan.webp,final_url_ready,mime=image/webp
source_only,/Users/ritaterekh/Documents/barnes-assets/karluu/karluu-materials.png,,4027777,3933.4,,https://daniilterekh-prog.github.io/barnes-assets/karluu/karluu-materials.png,final_url_ready_size_warning,mime=image/png
source_only,/Users/ritaterekh/Documents/barnes-assets/karluu/karluu-materials.webp,,79562,77.7,,https://daniilterekh-prog.github.io/barnes-assets/karluu/karluu-materials.webp,final_url_ready,mime=image/webp
source_only,/Users/ritaterekh/Documents/barnes-assets/karluu/karluu-mice.png,,2669663,2607.1,,https://daniilterekh-prog.github.io/barnes-assets/karluu/karluu-mice.png,final_url_ready_size_warning,mime=image/png
source_only,/Users/ritaterekh/Documents/barnes-assets/karluu/karluu-mice.webp,,62734,61.3,,https://daniilterekh-prog.github.io/barnes-assets/karluu/karluu-mice.webp,final_url_ready,mime=image/webp
source_only,/Users/ritaterekh/Documents/barnes-assets/karluu/karluu-retail-line.png,,6336620,6188.1,,https://daniilterekh-prog.github.io/barnes-assets/karluu/karluu-retail-line.png,final_url_ready_size_warning,mime=image/png
source_only,/Users/ritaterekh/Documents/barnes-assets/karluu/karluu-retail-line.webp,,151146,147.6,,https://daniilterekh-prog.github.io/barnes-assets/karluu/karluu-retail-line.webp,final_url_ready,mime=image/webp
source_only,/Users/ritaterekh/Documents/barnes-assets/karluu/karluu-season-autumn-fishing.webp,,162702,158.9,,https://daniilterekh-prog.github.io/barnes-assets/karluu/karluu-season-autumn-fishing.webp,final_url_ready,mime=image/webp
source_only,/Users/ritaterekh/Documents/barnes-assets/karluu/karluu-season-spring-spa.webp,,158318,154.6,,https://daniilterekh-prog.github.io/barnes-assets/karluu/karluu-season-spring-spa.webp,final_url_ready,mime=image/webp
