source_file,output_file,source_ext,original_width,original_height,output_width,output_height,original_kb,webp_kb,savings_percent,quality,lossless,status,notes
/Users/ritaterekh/Documents/лдм/assets/optimized/barnes-expert-portrait.jpg,/Users/ritaterekh/Documents/лдм/assets/webp/barnes-expert-portrait.webp,.jpg,720,900,720,900,78.6,24.5,68.8,82,false,converted,
/Users/ritaterekh/Documents/лдм/assets/optimized/images/projects/17-33.jpg,/Users/ritaterekh/Documents/лдм/assets/webp/17-33.webp,.jpg,900,600,900,600,141.6,79.2,44.1,82,false,converted,
/Users/ritaterekh/Documents/лдм/assets/optimized/images/projects/aristokrat.jpg,/Users/ritaterekh/Documents/лдм/assets/webp/aristokrat.webp,.jpg,900,600,900,600,107.0,49.0,54.2,82,false,converted,
/Users/ritaterekh/Documents/лдм/assets/optimized/images/projects/fontanka-130.jpg,/Users/ritaterekh/Documents/лдм/assets/webp/fontanka-130.webp,.jpg,900,600,900,600,133.0,69.5,47.7,82,false,converted,
/Users/ritaterekh/Documents/лдм/assets/optimized/images/projects/manhattan.jpg,/Users/ritaterekh/Documents/лдм/assets/webp/manhattan.webp,.jpg,900,600,900,600,176.9,106.8,39.6,82,false,converted,
/Users/ritaterekh/Documents/лдм/assets/optimized/images/projects/ostrov-pervykh.jpg,/Users/ritaterekh/Documents/лдм/assets/webp/ostrov-pervykh.webp,.jpg,900,600,900,600,161.0,98.6,38.8,82,false,converted,
/Users/ritaterekh/Documents/лдм/assets/optimized/images/projects/repin.jpg,/Users/ritaterekh/Documents/лдм/assets/webp/repin.webp,.jpg,900,600,900,600,159.7,95.3,40.3,82,false,converted,
/Users/ritaterekh/Documents/лдм/assets/optimized/images/projects/vizioner.jpg,/Users/ritaterekh/Documents/лдм/assets/webp/vizioner.webp,.jpg,900,600,900,600,169.8,95.9,43.5,82,false,converted,
/Users/ritaterekh/Documents/лдм/assets/optimized/ldm-court.jpg,/Users/ritaterekh/Documents/лдм/assets/webp/ldm-court.webp,.jpg,1200,1200,1200,1200,41.4,5.7,86.2,82,false,converted,
/Users/ritaterekh/Documents/лдм/assets/optimized/ldm-facade.jpg,/Users/ritaterekh/Documents/лдм/assets/webp/ldm-facade.webp,.jpg,1200,1200,1200,1200,52.0,7.6,85.4,82,false,converted,
/Users/ritaterekh/Documents/лдм/assets/optimized/ldm-hero.jpg,/Users/ritaterekh/Documents/лдм/assets/webp/ldm-hero.webp,.jpg,1600,1600,1600,1600,103.6,16.7,83.9,82,false,converted,
/Users/ritaterekh/Documents/лдм/assets/optimized/ldm-lobby.jpg,/Users/ritaterekh/Documents/лдм/assets/webp/ldm-lobby.webp,.jpg,1200,1200,1200,1200,50.0,7.8,84.4,82,false,converted,
/Users/ritaterekh/Documents/лдм/assets/optimized/ldm-map-base.jpg,/Users/ritaterekh/Documents/лдм/assets/webp/ldm-map-base.webp,.jpg,1500,844,1500,844,219.2,107.7,50.9,82,false,converted,
/Users/ritaterekh/Documents/лдм/assets/optimized/ldm-water.jpg,/Users/ritaterekh/Documents/лдм/assets/webp/ldm-water.webp,.jpg,1200,1200,1200,1200,48.5,8.2,83.1,82,false,converted,
/Users/ritaterekh/Documents/лдм/assets/optimized/petrogradskaya-address-street-rain.jpg,/Users/ritaterekh/Documents/лдм/assets/webp/petrogradskaya-address-street-rain.webp,.jpg,1200,675,1200,675,229.3,112.9,50.8,82,false,converted,
/Users/ritaterekh/Documents/лдм/assets/optimized/petrogradskaya-bolshoy-prospect-rain.jpg,/Users/ritaterekh/Documents/лдм/assets/webp/petrogradskaya-bolshoy-prospect-rain.webp,.jpg,1200,798,1200,798,259.1,125.8,51.4,82,false,converted,
/Users/ritaterekh/Documents/лдм/assets/optimized/petrogradskaya-botanical-garden.jpg,/Users/ritaterekh/Documents/лдм/assets/webp/petrogradskaya-botanical-garden.webp,.jpg,1000,666,1000,666,172.2,137.5,20.2,82,false,converted,
/Users/ritaterekh/Documents/лдм/assets/optimized/petrogradskaya-lopukhinsky-garden.jpg,/Users/ritaterekh/Documents/лдм/assets/webp/petrogradskaya-lopukhinsky-garden.webp,.jpg,1000,666,1000,666,155.1,117.9,24.0,82,false,converted,
/Users/ritaterekh/Documents/лдм/assets/optimized/preloader-stone-texture.jpg,/Users/ritaterekh/Documents/лдм/assets/webp/preloader-stone-texture.webp,.jpg,900,506,900,506,41.5,12.9,68.9,82,false,converted,
/Users/ritaterekh/Documents/лдм/assets/optimized/residence-family-living.jpg,/Users/ritaterekh/Documents/лдм/assets/webp/residence-family-living.webp,.jpg,1200,800,1200,800,192.6,75.0,61.1,82,false,converted,
/Users/ritaterekh/Documents/лдм/assets/optimized/residence-terrace-private.jpg,/Users/ritaterekh/Documents/лдм/assets/webp/residence-terrace-private.webp,.jpg,1200,800,1200,800,164.6,63.1,61.7,82,false,converted,
/Users/ritaterekh/Documents/лдм/assets/optimized/residence-upper-floor.jpg,/Users/ritaterekh/Documents/лдм/assets/webp/residence-upper-floor.webp,.jpg,1200,800,1200,800,188.1,71.2,62.1,82,false,converted,
/Users/ritaterekh/Documents/лдм/assets/optimized/residence-view-city.jpg,/Users/ritaterekh/Documents/лдм/assets/webp/residence-view-city.webp,.jpg,1200,800,1200,800,199.1,80.6,59.5,82,false,converted,
