source_file,output_file,source_ext,original_width,original_height,output_width,output_height,original_kb,webp_kb,savings_percent,quality,lossless,status,notes
/Users/ritaterekh/Documents/New project/assets/source-live/atlas-map-vavilova-barnes-light-source.webp,/Users/ritaterekh/Documents/New project/assets/optimized/atlas-map.webp,.webp,1764,1176,1764,1176,179.0,166.4,7.0,82,false,converted,new Moscow atlas map from user file 2026-06-14
/Users/ritaterekh/Documents/New project/assets/source-live/final-cta.png,/Users/ritaterekh/Documents/New project/assets/optimized/final-cta.webp,.png,1122,1402,1122,1402,2181.9,152.7,93.0,82,false,converted,
/Users/ritaterekh/Documents/New project/assets/source-live/hero-building.png,/Users/ritaterekh/Documents/New project/assets/optimized/hero-building.webp,.png,1134,1387,1134,1387,1756.3,81.7,95.3,82,false,converted,
/Users/ritaterekh/Documents/New project/assets/source-live/index-mockup.png,/Users/ritaterekh/Documents/New project/assets/optimized/index-mockup.webp,.png,1086,1448,1086,1448,1952.9,76.5,96.1,82,false,converted,
/Users/ritaterekh/Documents/New project/assets/source-live/residence-badaevsky.png,/Users/ritaterekh/Documents/New project/assets/optimized/residence-badaevsky.webp,.png,1672,941,1440,810,2311.3,159.2,93.1,82,false,converted,
/Users/ritaterekh/Documents/New project/assets/source-live/residence-frunzenskaya.png,/Users/ritaterekh/Documents/New project/assets/optimized/residence-frunzenskaya.webp,.png,1672,941,1440,810,2137.1,141.7,93.4,82,false,converted,
/Users/ritaterekh/Documents/New project/assets/source-live/residence-luzhniki.png,/Users/ritaterekh/Documents/New project/assets/optimized/residence-luzhniki.webp,.png,1672,941,1440,810,1985.5,105.0,94.7,82,false,converted,
https://nicole.ru/assets/images/media/landing/1.intro/intro-image@md.webp,/Users/ritaterekh/Documents/New project/assets/optimized/residence-nicole.webp,.webp,1440,992,1440,992,186.0,186.0,0.0,82,false,converted,official Nicole hero visual saved 2026-06-16
/Users/ritaterekh/Documents/New project/assets/source-live/residence-shift.png,/Users/ritaterekh/Documents/New project/assets/optimized/residence-shift.webp,.png,1086,1448,1086,1448,2326.5,207.2,91.1,82,false,converted,
/Users/ritaterekh/Documents/New project/assets/source-live/residence-tishinsky.png,/Users/ritaterekh/Documents/New project/assets/optimized/residence-tishinsky.webp,.png,1536,1024,1440,960,2775.1,266.4,90.4,82,false,converted,
/Users/ritaterekh/Documents/New project/assets/source-live/scenario-live.png,/Users/ritaterekh/Documents/New project/assets/optimized/scenario-live.webp,.png,1254,1254,1254,1254,2182.5,144.5,93.4,82,false,converted,
