source_file,output_file,source_ext,original_width,original_height,output_width,output_height,original_kb,webp_kb,savings_percent,quality,lossless,status,notes
/Users/ritaterekh/Documents/остров первых/assets/img/optimized/ostrov-pervyh-address.jpg,/Users/ritaterekh/Documents/barnes-assets/ostrov-pervyh/ostrov-pervyh-address.webp,.jpg,800,1000,800,1000,175.5,103.3,41.1,82,false,converted,
/Users/ritaterekh/Documents/остров первых/assets/img/optimized/ostrov-pervyh-architecture-brick.jpg,/Users/ritaterekh/Documents/barnes-assets/ostrov-pervyh/ostrov-pervyh-architecture-brick.webp,.jpg,1200,739,1200,739,261.5,174.6,33.2,82,false,converted,
/Users/ritaterekh/Documents/остров первых/assets/img/optimized/ostrov-pervyh-architecture-glazing.jpg,/Users/ritaterekh/Documents/barnes-assets/ostrov-pervyh/ostrov-pervyh-architecture-glazing.webp,.jpg,562,1000,562,1000,125.6,92.4,26.4,82,false,converted,
/Users/ritaterekh/Documents/остров первых/assets/img/optimized/ostrov-pervyh-architecture-water.jpg,/Users/ritaterekh/Documents/barnes-assets/ostrov-pervyh/ostrov-pervyh-architecture-water.webp,.jpg,562,1000,562,1000,184.1,146.7,20.3,82,false,converted,
/Users/ritaterekh/Documents/остров первых/assets/img/optimized/ostrov-pervyh-architecture-yard.jpg,/Users/ritaterekh/Documents/barnes-assets/ostrov-pervyh/ostrov-pervyh-architecture-yard.webp,.jpg,562,1000,562,1000,164.2,126.1,23.2,82,false,converted,
/Users/ritaterekh/Documents/остров первых/assets/img/optimized/ostrov-pervyh-expert.jpg,/Users/ritaterekh/Documents/barnes-assets/ostrov-pervyh/ostrov-pervyh-expert.webp,.jpg,1122,1402,1122,1402,188.6,49.1,74.0,82,false,converted,
/Users/ritaterekh/Documents/остров первых/assets/img/optimized/ostrov-pervyh-hero.jpg,/Users/ritaterekh/Documents/barnes-assets/ostrov-pervyh/ostrov-pervyh-hero.webp,.jpg,1400,788,1400,788,330.2,157.6,52.3,82,false,converted,
/Users/ritaterekh/Documents/остров первых/assets/img/optimized/ostrov-pervyh-map-v2.jpg,/Users/ritaterekh/Documents/barnes-assets/ostrov-pervyh/ostrov-pervyh-map-v2.webp,.jpg,1200,764,1200,764,197.1,106.6,45.9,82,false,converted,
/Users/ritaterekh/Documents/остров первых/assets/img/optimized/project-kollektsioner.jpg,/Users/ritaterekh/Documents/barnes-assets/ostrov-pervyh/project-kollektsioner.webp,.jpg,1000,666,1000,666,157.0,93.7,40.3,82,false,converted,
/Users/ritaterekh/Documents/остров первых/assets/img/ostrov/ostrov-pervyh-main-view.jpg,/Users/ritaterekh/Documents/barnes-assets/ostrov-pervyh/ostrov-pervyh-main-view.webp,.jpg,825,464,825,464,171.5,89.0,48.1,82,false,converted,
/Users/ritaterekh/Documents/остров первых/assets/img/ostrov/ostrov-pervyh-plan-1k.png,/Users/ritaterekh/Documents/barnes-assets/ostrov-pervyh/ostrov-pervyh-plan-1k.webp,.png,1260,1604,1260,1604,42.9,51.7,-20.5,82,false,converted,
/Users/ritaterekh/Documents/остров первых/assets/img/ostrov/ostrov-pervyh-plan-2k.png,/Users/ritaterekh/Documents/barnes-assets/ostrov-pervyh/ostrov-pervyh-plan-2k.webp,.png,1310,1594,1310,1594,55.2,67.0,-21.4,82,false,converted,
/Users/ritaterekh/Documents/остров первых/assets/img/ostrov/ostrov-pervyh-plan-3k.png,/Users/ritaterekh/Documents/barnes-assets/ostrov-pervyh/ostrov-pervyh-plan-3k.webp,.png,1046,1602,1046,1602,38.8,46.3,-19.3,82,false,converted,
/Users/ritaterekh/Documents/остров первых/assets/img/ostrov/ostrov-pervyh-plan-view.png,/Users/ritaterekh/Documents/barnes-assets/ostrov-pervyh/ostrov-pervyh-plan-view.webp,.png,1680,722,1680,722,260.4,48.1,81.5,82,false,converted,
/Users/ritaterekh/Documents/остров первых/assets/img/projects/17-33.webp,/Users/ritaterekh/Documents/barnes-assets/ostrov-pervyh/17-33.webp,.webp,960,600,960,600,84.0,80.0,4.8,82,false,converted,
/Users/ritaterekh/Documents/остров первых/assets/img/projects/aristokrat.webp,/Users/ritaterekh/Documents/barnes-assets/ostrov-pervyh/aristokrat.webp,.webp,960,600,960,600,87.1,81.8,6.1,82,false,converted,
/Users/ritaterekh/Documents/остров первых/assets/img/projects/fontanka-130.webp,/Users/ritaterekh/Documents/barnes-assets/ostrov-pervyh/fontanka-130.webp,.webp,960,600,960,600,150.7,145.8,3.3,82,false,converted,
/Users/ritaterekh/Documents/остров первых/assets/img/projects/ldm.jpg,/Users/ritaterekh/Documents/barnes-assets/ostrov-pervyh/ldm.webp,.jpg,1200,742,1200,742,141.5,124.2,12.2,82,false,converted,
/Users/ritaterekh/Documents/остров первых/assets/img/projects/manhattan.webp,/Users/ritaterekh/Documents/barnes-assets/ostrov-pervyh/manhattan.webp,.webp,960,600,960,600,118.7,115.1,3.0,82,false,converted,
/Users/ritaterekh/Documents/остров первых/assets/img/projects/repin.webp,/Users/ritaterekh/Documents/barnes-assets/ostrov-pervyh/repin.webp,.webp,960,600,960,600,92.6,88.9,4.0,82,false,converted,
/Users/ritaterekh/Documents/остров первых/assets/img/projects/vizioner.webp,/Users/ritaterekh/Documents/barnes-assets/ostrov-pervyh/vizioner.webp,.webp,960,600,960,600,98.9,94.7,4.2,82,false,converted,
