source_file,output_file,source_ext,original_width,original_height,output_width,output_height,original_kb,webp_kb,savings_percent,quality,lossless,status,notes
/Users/ritaterekh/Documents/рэдиент/img/project/aerial-katun.png,/Users/ritaterekh/Documents/рэдиент/assets/optimized/redient-altai/aerial-katun-fd835830.webp,.png,1254,1254,1254,1254,2890.8,290.2,90.0,82,false,converted,
/Users/ritaterekh/Documents/рэдиент/img/project/aerial-presentation.png,/Users/ritaterekh/Documents/рэдиент/assets/optimized/redient-altai/aerial-presentation-557563eb.webp,.png,1240,1550,1240,1550,1847.1,199.4,89.2,82,false,converted,
/Users/ritaterekh/Documents/рэдиент/img/project/airport.jpg,/Users/ritaterekh/Documents/рэдиент/assets/optimized/redient-altai/airport-aa147055.webp,.jpg,1240,660,1240,660,236.8,151.0,36.2,82,false,converted,
/Users/ritaterekh/Documents/рэдиент/img/project/architecture-cedar.png,/Users/ritaterekh/Documents/рэдиент/assets/optimized/redient-altai/architecture-cedar-09045ba1.webp,.png,1122,1402,1122,1402,2269.7,149.6,93.4,82,false,converted,
/Users/ritaterekh/Documents/рэдиент/img/project/architecture-detail.png,/Users/ritaterekh/Documents/рэдиент/assets/optimized/redient-altai/architecture-detail-7697d1a2.webp,.png,1122,1402,1122,1402,2184.5,152.6,93.0,82,false,converted,
/Users/ritaterekh/Documents/рэдиент/img/project/architecture-facade.png,/Users/ritaterekh/Documents/рэдиент/assets/optimized/redient-altai/architecture-facade-02db7fe4.webp,.png,1122,1402,1122,1402,2753.5,292.8,89.4,82,false,converted,
/Users/ritaterekh/Documents/рэдиент/img/project/architecture-presentation.png,/Users/ritaterekh/Documents/рэдиент/assets/optimized/redient-altai/architecture-presentation-7ccf2b1d.webp,.png,1240,1550,1240,1550,1022.3,110.1,89.2,82,false,converted,
/Users/ritaterekh/Documents/рэдиент/img/project/architecture-silhouette.png,/Users/ritaterekh/Documents/рэдиент/assets/optimized/redient-altai/architecture-silhouette-636fc8fd.webp,.png,1024,1536,1024,1536,3239.0,343.0,89.4,82,false,converted,over_300kb_check_role
/Users/ritaterekh/Documents/рэдиент/img/project/aura-spa-presentation.png,/Users/ritaterekh/Documents/рэдиент/assets/optimized/redient-altai/aura-spa-presentation-4057d898.webp,.png,1240,1550,1240,1550,1618.7,157.2,90.3,82,false,converted,
/Users/ritaterekh/Documents/рэдиент/img/project/bath-shuttle.jpg,/Users/ritaterekh/Documents/рэдиент/assets/optimized/redient-altai/bath-shuttle-228c615a.webp,.jpg,1756,1374,1756,1374,249.7,123.0,50.7,82,false,converted,
/Users/ritaterekh/Documents/рэдиент/img/project/business-presentation.png,/Users/ritaterekh/Documents/рэдиент/assets/optimized/redient-altai/business-presentation-342046e3.webp,.png,1240,1550,1240,1550,1656.3,169.9,89.7,82,false,converted,
/Users/ritaterekh/Documents/рэдиент/img/project/cowork.jpg,/Users/ritaterekh/Documents/рэдиент/assets/optimized/redient-altai/cowork-e0744d5f.webp,.jpg,1280,1280,1280,1280,537.3,381.1,29.1,82,false,converted,over_300kb_check_role
/Users/ritaterekh/Documents/рэдиент/img/project/family-02.jpg,/Users/ritaterekh/Documents/рэдиент/assets/optimized/redient-altai/family-02-cc9c61e5.webp,.jpg,664,720,664,720,83.9,46.7,44.3,82,false,converted,
/Users/ritaterekh/Documents/рэдиент/img/project/finish-deluxe-01.jpg,/Users/ritaterekh/Documents/рэдиент/assets/optimized/redient-altai/finish-deluxe-01-d50c8cf6.webp,.jpg,744,720,744,720,90.7,49.7,45.2,82,false,converted,
/Users/ritaterekh/Documents/рэдиент/img/project/finish-deluxe-02.jpg,/Users/ritaterekh/Documents/рэдиент/assets/optimized/redient-altai/finish-deluxe-02-efbea059.webp,.jpg,870,720,870,720,117.9,65.5,44.4,82,false,converted,
/Users/ritaterekh/Documents/рэдиент/img/project/finish-deluxe-03.jpg,/Users/ritaterekh/Documents/рэдиент/assets/optimized/redient-altai/finish-deluxe-03-20fd361b.webp,.jpg,800,720,800,720,97.6,51.7,47.0,82,false,converted,
/Users/ritaterekh/Documents/рэдиент/img/project/finish-deluxe-06.jpg,/Users/ritaterekh/Documents/рэдиент/assets/optimized/redient-altai/finish-deluxe-06-3ce837a0.webp,.jpg,576,720,576,720,84.7,44.5,47.5,82,false,converted,
/Users/ritaterekh/Documents/рэдиент/img/project/finish-family-01.jpg,/Users/ritaterekh/Documents/рэдиент/assets/optimized/redient-altai/finish-family-01-24dc179b.webp,.jpg,840,720,840,720,116.2,60.8,47.7,82,false,converted,
/Users/ritaterekh/Documents/рэдиент/img/project/finish-family-02.jpg,/Users/ritaterekh/Documents/рэдиент/assets/optimized/redient-altai/finish-family-02-8be29db8.webp,.jpg,664,720,664,720,83.9,46.7,44.3,82,false,converted,
/Users/ritaterekh/Documents/рэдиент/img/project/finish-family-03.jpg,/Users/ritaterekh/Documents/рэдиент/assets/optimized/redient-altai/finish-family-03-ef8beab2.webp,.jpg,576,720,576,720,80.5,47.0,41.6,82,false,converted,
/Users/ritaterekh/Documents/рэдиент/img/project/finish-family-06.jpg,/Users/ritaterekh/Documents/рэдиент/assets/optimized/redient-altai/finish-family-06-bfff542d.webp,.jpg,870,720,870,720,123.0,68.9,44.0,82,false,converted,
/Users/ritaterekh/Documents/рэдиент/img/project/finish-standart-01.jpg,/Users/ritaterekh/Documents/рэдиент/assets/optimized/redient-altai/finish-standart-01-75b4ebde.webp,.jpg,576,720,576,720,73.6,36.2,50.8,82,false,converted,
/Users/ritaterekh/Documents/рэдиент/img/project/finish-standart-02.jpg,/Users/ritaterekh/Documents/рэдиент/assets/optimized/redient-altai/finish-standart-02-a0ec5b59.webp,.jpg,576,720,576,720,85.8,54.6,36.4,82,false,converted,
/Users/ritaterekh/Documents/рэдиент/img/project/finish-standart-04.jpg,/Users/ritaterekh/Documents/рэдиент/assets/optimized/redient-altai/finish-standart-04-f08a422e.webp,.jpg,764,720,764,720,78.6,35.2,55.2,82,false,converted,
/Users/ritaterekh/Documents/рэдиент/img/project/finish-standart-06.jpg,/Users/ritaterekh/Documents/рэдиент/assets/optimized/redient-altai/finish-standart-06-0e218c1e.webp,.jpg,588,720,588,720,63.1,31.7,49.8,82,false,converted,
/Users/ritaterekh/Documents/рэдиент/img/project/hero-presentation.png,/Users/ritaterekh/Documents/рэдиент/assets/optimized/redient-altai/hero-presentation-9cf01b64.webp,.png,1240,1550,1240,1550,1688.6,157.9,90.6,82,false,converted,
/Users/ritaterekh/Documents/рэдиент/img/project/hero-redient-desktop.png,/Users/ritaterekh/Documents/рэдиент/assets/optimized/redient-altai/hero-redient-desktop-15045aca.webp,.png,1672,941,1672,941,2710.0,262.6,90.3,82,false,converted,
/Users/ritaterekh/Documents/рэдиент/img/project/hero-redient-mobile.png,/Users/ritaterekh/Documents/рэдиент/assets/optimized/redient-altai/hero-redient-mobile-1039090a.webp,.png,1122,1402,1122,1402,2753.5,292.8,89.4,82,false,converted,
/Users/ritaterekh/Documents/рэдиент/img/project/infrastructure-12_34_38.png,/Users/ritaterekh/Documents/рэдиент/assets/optimized/redient-altai/infrastructure-12_34_38-d0121e30.webp,.png,1536,1024,1536,1024,2378.6,207.1,91.3,82,false,converted,
/Users/ritaterekh/Documents/рэдиент/img/project/infrastructure-12_34_45.png,/Users/ritaterekh/Documents/рэдиент/assets/optimized/redient-altai/infrastructure-12_34_45-aa6bf122.webp,.png,1536,1024,1536,1024,2852.8,256.8,91.0,82,false,converted,
/Users/ritaterekh/Documents/рэдиент/img/project/infrastructure-12_34_58.png,/Users/ritaterekh/Documents/рэдиент/assets/optimized/redient-altai/infrastructure-12_34_58-e51ae4bd.webp,.png,1672,941,1672,941,2852.0,278.7,90.2,82,false,converted,
/Users/ritaterekh/Documents/рэдиент/img/project/infrastructure-12_35_02.png,/Users/ritaterekh/Documents/рэдиент/assets/optimized/redient-altai/infrastructure-12_35_02-dff31934.webp,.png,1536,1024,1536,1024,2672.2,200.2,92.5,82,false,converted,
/Users/ritaterekh/Documents/рэдиент/img/project/infrastructure-12_35_08.png,/Users/ritaterekh/Documents/рэдиент/assets/optimized/redient-altai/infrastructure-12_35_08-e829a9b0.webp,.png,1672,941,1672,941,2520.0,186.9,92.6,82,false,converted,
/Users/ritaterekh/Documents/рэдиент/img/project/infrastructure-12_35_12.png,/Users/ritaterekh/Documents/рэдиент/assets/optimized/redient-altai/infrastructure-12_35_12-6f6e757c.webp,.png,1535,1024,1535,1024,2986.4,312.3,89.5,82,false,converted,over_300kb_check_role
/Users/ritaterekh/Documents/рэдиент/img/project/infrastructure-12_35_24.png,/Users/ritaterekh/Documents/рэдиент/assets/optimized/redient-altai/infrastructure-12_35_24-21012e47.webp,.png,1536,1024,1536,1024,2776.7,250.4,91.0,82,false,converted,
/Users/ritaterekh/Documents/рэдиент/img/project/infrastructure-12_35_28.png,/Users/ritaterekh/Documents/рэдиент/assets/optimized/redient-altai/infrastructure-12_35_28-435ecaf9.webp,.png,1672,941,1672,941,2031.8,87.4,95.7,82,false,converted,
/Users/ritaterekh/Documents/рэдиент/img/project/location-map-katun.png,/Users/ritaterekh/Documents/рэдиент/assets/optimized/redient-altai/location-map-katun-f53c3ffb.webp,.png,1672,941,1672,941,2371.9,162.5,93.1,82,false,converted,
/Users/ritaterekh/Documents/рэдиент/img/project/logo-barnes-international.svg,,.svg,,,,,0.9,,,82,false,skipped,.svg is not converted by default
/Users/ritaterekh/Documents/рэдиент/img/project/manzherok.jpg,/Users/ritaterekh/Documents/рэдиент/assets/optimized/redient-altai/manzherok-16a58504.webp,.jpg,1240,660,1240,660,286.2,191.1,33.2,82,false,converted,
/Users/ritaterekh/Documents/рэдиент/img/project/masterplan-katun.png,/Users/ritaterekh/Documents/рэдиент/assets/optimized/redient-altai/masterplan-katun-4a8fe97f.webp,.png,1024,1536,1024,1536,3239.0,343.0,89.4,82,false,converted,over_300kb_check_role
