role,source_file,optimized_file,size_bytes,size_kb,alt,final_url,status,notes
gallery,source-assets/apartments-benefit-sky-breeze,visuals/apartments-benefit-sky-breeze.webp,171340,167.3,apartments benefit sky breeze,https://daniilterekh-prog.github.io/barnes-assets/sea-breeze-sochi/2026-07-15/visuals/apartments-benefit-sky-breeze.webp,final_url_ready,optimized WebP
gallery,source-assets/c1-back,visuals/c1-back.webp,225800,220.5,c1 back,https://daniilterekh-prog.github.io/barnes-assets/sea-breeze-sochi/2026-07-15/visuals/c1-back.webp,final_url_ready,optimized WebP
gallery,source-assets/c1-entrance,visuals/c1-entrance.webp,285080,278.4,c1 entrance,https://daniilterekh-prog.github.io/barnes-assets/sea-breeze-sochi/2026-07-15/visuals/c1-entrance.webp,final_url_ready,optimized WebP
expert,source-assets/ekaterina,visuals/ekaterina.webp,86242,84.2,ekaterina,https://daniilterekh-prog.github.io/barnes-assets/sea-breeze-sochi/2026-07-15/visuals/ekaterina.webp,final_url_ready,optimized WebP
gallery,source-assets/grand-lobby-benefit-sky-breeze,visuals/grand-lobby-benefit-sky-breeze.webp,171340,167.3,grand lobby benefit sky breeze,https://daniilterekh-prog.github.io/barnes-assets/sea-breeze-sochi/2026-07-15/visuals/grand-lobby-benefit-sky-breeze.webp,final_url_ready,optimized WebP
gallery,source-assets/grand-lobby-private-benefit-sky-breeze,visuals/grand-lobby-private-benefit-sky-breeze.webp,578412,564.9,grand lobby private benefit sky breeze,https://daniilterekh-prog.github.io/barnes-assets/sea-breeze-sochi/2026-07-15/visuals/grand-lobby-private-benefit-sky-breeze.webp,final_url_ready,optimized WebP
hero,source-assets/hero-benefit-sky-breeze,visuals/hero-benefit-sky-breeze.webp,386934,377.9,hero benefit sky breeze,https://daniilterekh-prog.github.io/barnes-assets/sea-breeze-sochi/2026-07-15/visuals/hero-benefit-sky-breeze.webp,final_url_ready,optimized WebP
gallery,source-assets/interiors-benefit-sky-breeze,visuals/interiors-benefit-sky-breeze.webp,308466,301.2,interiors benefit sky breeze,https://daniilterekh-prog.github.io/barnes-assets/sea-breeze-sochi/2026-07-15/visuals/interiors-benefit-sky-breeze.webp,final_url_ready,optimized WebP
map,source-assets/location-map-sky-breeze-terrain,visuals/location-map-sky-breeze-terrain.webp,408262,398.7,location map sky breeze terrain,https://daniilterekh-prog.github.io/barnes-assets/sea-breeze-sochi/2026-07-15/visuals/location-map-sky-breeze-terrain.webp,final_url_ready,optimized WebP
gallery,source-assets/lux-grand-reference-benefit-sky-breeze,visuals/lux-grand-reference-benefit-sky-breeze.webp,308466,301.2,lux grand reference benefit sky breeze,https://daniilterekh-prog.github.io/barnes-assets/sea-breeze-sochi/2026-07-15/visuals/lux-grand-reference-benefit-sky-breeze.webp,final_url_ready,optimized WebP
gallery,source-assets/pdf-detail-24,visuals/pdf-detail-24.webp,139526,136.3,pdf detail 24,https://daniilterekh-prog.github.io/barnes-assets/sea-breeze-sochi/2026-07-15/visuals/pdf-detail-24.webp,final_url_ready,optimized WebP
gallery,source-assets/pdf-detail-25,visuals/pdf-detail-25.webp,121438,118.6,pdf detail 25,https://daniilterekh-prog.github.io/barnes-assets/sea-breeze-sochi/2026-07-15/visuals/pdf-detail-25.webp,final_url_ready,optimized WebP
gallery,source-assets/rosa-khutor-view,visuals/rosa-khutor-view.webp,352444,344.2,rosa khutor view,https://daniilterekh-prog.github.io/barnes-assets/sea-breeze-sochi/2026-07-15/visuals/rosa-khutor-view.webp,final_url_ready,optimized WebP
gallery,source-assets/service-reception-benefit-sky-breeze,visuals/service-reception-benefit-sky-breeze.webp,311376,304.1,service reception benefit sky breeze,https://daniilterekh-prog.github.io/barnes-assets/sea-breeze-sochi/2026-07-15/visuals/service-reception-benefit-sky-breeze.webp,final_url_ready,optimized WebP
gallery,source-assets/service-suite-benefit-sky-breeze,visuals/service-suite-benefit-sky-breeze.webp,33306,32.5,service suite benefit sky breeze,https://daniilterekh-prog.github.io/barnes-assets/sea-breeze-sochi/2026-07-15/visuals/service-suite-benefit-sky-breeze.webp,final_url_ready,optimized WebP
gallery,source-assets/sky-breeze-aerial,visuals/sky-breeze-aerial.webp,281830,275.2,sky breeze aerial,https://daniilterekh-prog.github.io/barnes-assets/sea-breeze-sochi/2026-07-15/visuals/sky-breeze-aerial.webp,final_url_ready,optimized WebP
gallery,source-assets/spring-benefit-sky-breeze,visuals/spring-benefit-sky-breeze.webp,184008,179.7,spring benefit sky breeze,https://daniilterekh-prog.github.io/barnes-assets/sea-breeze-sochi/2026-07-15/visuals/spring-benefit-sky-breeze.webp,final_url_ready,optimized WebP
gallery,source-assets/summer-benefit-sky-breeze,visuals/summer-benefit-sky-breeze.webp,238098,232.5,summer benefit sky breeze,https://daniilterekh-prog.github.io/barnes-assets/sea-breeze-sochi/2026-07-15/visuals/summer-benefit-sky-breeze.webp,final_url_ready,optimized WebP
gallery,source-assets/winter-benefit-sky-breeze,visuals/winter-benefit-sky-breeze.webp,268850,262.5,winter benefit sky breeze,https://daniilterekh-prog.github.io/barnes-assets/sea-breeze-sochi/2026-07-15/visuals/winter-benefit-sky-breeze.webp,final_url_ready,optimized WebP
gallery,source-assets/winter-ski-ridges-sky-breeze,visuals/winter-ski-ridges-sky-breeze.webp,217662,212.6,winter ski ridges sky breeze,https://daniilterekh-prog.github.io/barnes-assets/sea-breeze-sochi/2026-07-15/visuals/winter-ski-ridges-sky-breeze.webp,final_url_ready,optimized WebP
floorplan,official s3.timeweb.cloud source,plans/Etazh_2_nomer_201_01_1_816222181c.svg,376328,367.5,Планировка резиденции BENEFIT Sea Breeze Sochi,https://daniilterekh-prog.github.io/barnes-assets/sea-breeze-sochi/2026-07-15/plans/Etazh_2_nomer_201_01_1_816222181c.svg,final_url_ready,official SVG mirrored to GitHub Pages
floorplan,official s3.timeweb.cloud source,plans/Etazh_2_nomer_202_01_1_af187a2c51.svg,224858,219.6,Планировка резиденции BENEFIT Sea Breeze Sochi,https://daniilterekh-prog.github.io/barnes-assets/sea-breeze-sochi/2026-07-15/plans/Etazh_2_nomer_202_01_1_af187a2c51.svg,final_url_ready,official SVG mirrored to GitHub Pages
floorplan,official s3.timeweb.cloud source,plans/Etazh_2_nomer_205_01_1_d54bffaa19.svg,271296,264.9,Планировка резиденции BENEFIT Sea Breeze Sochi,https://daniilterekh-prog.github.io/barnes-assets/sea-breeze-sochi/2026-07-15/plans/Etazh_2_nomer_205_01_1_d54bffaa19.svg,final_url_ready,official SVG mirrored to GitHub Pages
