source_file,output_file,source_ext,original_width,original_height,output_width,output_height,original_kb,webp_kb,savings_percent,quality,lossless,status,notes
"/Users/ritaterekh/Downloads/ChatGPT Image 19 июн. 2026 г., 10_17_25.png","/Users/ritaterekh/Documents/barnes-assets/zagorye/new-drop-2026-06-19/ChatGPT-Image-19-июн.-2026-г.,-10_17_25.webp",.png,1368,1150,1368,1150,2714.4,284.4,89.5,84,false,converted,
"/Users/ritaterekh/Downloads/ChatGPT Image 19 июн. 2026 г., 10_17_49.png","/Users/ritaterekh/Documents/barnes-assets/zagorye/new-drop-2026-06-19/ChatGPT-Image-19-июн.-2026-г.,-10_17_49.webp",.png,1672,941,1672,941,3291.6,481.6,85.4,84,false,converted,over_300kb_check_role
"/Users/ritaterekh/Downloads/ChatGPT Image 19 июн. 2026 г., 10_17_59.png","/Users/ritaterekh/Documents/barnes-assets/zagorye/new-drop-2026-06-19/ChatGPT-Image-19-июн.-2026-г.,-10_17_59.webp",.png,1672,941,1672,941,3422.9,531.6,84.5,84,false,converted,over_300kb_check_role
"/Users/ritaterekh/Downloads/ChatGPT Image 19 июн. 2026 г., 10_18_11.png","/Users/ritaterekh/Documents/barnes-assets/zagorye/new-drop-2026-06-19/ChatGPT-Image-19-июн.-2026-г.,-10_18_11.webp",.png,1672,941,1672,941,3215.9,446.8,86.1,84,false,converted,over_300kb_check_role
"/Users/ritaterekh/Downloads/ChatGPT Image 19 июн. 2026 г., 10_20_51.png","/Users/ritaterekh/Documents/barnes-assets/zagorye/new-drop-2026-06-19/ChatGPT-Image-19-июн.-2026-г.,-10_20_51.webp",.png,1672,941,1672,941,2771.1,322.9,88.3,84,false,converted,over_300kb_check_role
"/Users/ritaterekh/Downloads/ChatGPT Image 19 июн. 2026 г., 10_23_43.png","/Users/ritaterekh/Documents/barnes-assets/zagorye/new-drop-2026-06-19/ChatGPT-Image-19-июн.-2026-г.,-10_23_43.webp",.png,1672,941,1672,941,3396.0,519.8,84.7,84,false,converted,over_300kb_check_role
"/Users/ritaterekh/Downloads/ChatGPT Image 19 июн. 2026 г., 10_23_52.png","/Users/ritaterekh/Documents/barnes-assets/zagorye/new-drop-2026-06-19/ChatGPT-Image-19-июн.-2026-г.,-10_23_52.webp",.png,1672,941,1672,941,3510.9,567.8,83.8,84,false,converted,over_300kb_check_role
"/Users/ritaterekh/Downloads/ChatGPT Image 19 июн. 2026 г., 10_23_57.png","/Users/ritaterekh/Documents/barnes-assets/zagorye/new-drop-2026-06-19/ChatGPT-Image-19-июн.-2026-г.,-10_23_57.webp",.png,1672,941,1672,941,2771.1,322.9,88.3,84,false,converted,over_300kb_check_role
"/Users/ritaterekh/Downloads/ChatGPT Image 19 июн. 2026 г., 10_24_45.png","/Users/ritaterekh/Documents/barnes-assets/zagorye/new-drop-2026-06-19/ChatGPT-Image-19-июн.-2026-г.,-10_24_45.webp",.png,983,1600,983,1600,1166.0,61.1,94.8,84,false,converted,
"/Users/ritaterekh/Downloads/ChatGPT Image 19 июн. 2026 г., 10_24_51.png","/Users/ritaterekh/Documents/barnes-assets/zagorye/new-drop-2026-06-19/ChatGPT-Image-19-июн.-2026-г.,-10_24_51.webp",.png,983,1601,983,1601,1084.6,49.0,95.5,84,false,converted,
"/Users/ritaterekh/Downloads/ChatGPT Image 19 июн. 2026 г., 10_26_13.png","/Users/ritaterekh/Documents/barnes-assets/zagorye/new-drop-2026-06-19/ChatGPT-Image-19-июн.-2026-г.,-10_26_13.webp",.png,1897,829,1897,829,3264.1,450.1,86.2,84,false,converted,over_300kb_check_role
